키워드,언론사,게시일,뉴스제목,url
에스케이 유심 해킹,한겨레,2025-04-29 13:58:14,"국방부 “SKT 폰 쓰는 장병 유심 교체 방안, 업체와 협의 중”",https://n.news.naver.com/mnews/article/028/0002743334?sid=100
에스케이 유심 해킹,한겨레,2025-04-27 14:16:15,"한덕수, SKT 해킹 사고에 “조치 적절성 점검” 긴급지시",https://n.news.naver.com/mnews/article/028/0002742958?sid=100
에스케이 유심 해킹,한겨레,2025-05-19 15:38:17,29만건 IMEI 유출 가능성 SKT “복제폰 위험 없어”,https://n.news.naver.com/mnews/article/028/0002746578?sid=101
에스케이 유심 해킹,한겨레,2025-04-27 16:12:09,"[현장] 불안한 SKT 이용자들…“사고 치고, 수습은 고객에 맡겨” 분통",https://n.news.naver.com/mnews/article/028/0002742979?sid=102
에스케이 유심 해킹,대전일보,2025-05-01 17:00:20,[사설] 가입자 불안과 화 키우는 SKT의 엉성한 해킹 대응,https://n.news.naver.com/mnews/article/656/0000130703?sid=110
에스케이 유심 해킹,한겨레,2025-04-29 17:36:13,어르신들 ‘SKT 유심 해킹’ 속수무책 “예약 어려워…그냥 폰 꺼두려고”,https://n.news.naver.com/mnews/article/028/0002743394?sid=102
에스케이 유심 해킹,한겨레,2025-04-28 17:12:22,“해킹 SKT 고객님 걱정되시죠~” 유심 대란에 바빠진 경쟁사들,https://n.news.naver.com/mnews/article/028/0002743185?sid=102
에스케이 유심 해킹,한겨레,2025-04-25 13:58:09,"‘해킹 사고’ SKT, 28일부터 전 고객 유심 무상교체 실시한다",https://n.news.naver.com/mnews/article/028/0002742772?sid=101
에스케이 유심 해킹,한겨레,2025-04-28 09:26:14,"‘해킹’ SKT, 유심 무료교체 시작…“온라인으로 예약하세요”",https://n.news.naver.com/mnews/article/028/0002743056?sid=105
에스케이 유심 해킹,한겨레,2025-04-28 10:58:22,"SKT 유심 교체, 내 앞에 9만명…온라인 예약 첫날 접속지연",https://n.news.naver.com/mnews/article/028/0002743083?sid=101
에스케이 유심 해킹,한겨레,2025-04-22 10:12:14,SKT “해킹 당했다…가입자 유심 정보 유출 의심” 자진신고,https://n.news.naver.com/mnews/article/028/0002742093?sid=105
에스케이 유심 해킹,한겨레,2025-04-30 18:20:19,"SKT, 유심보호서비스 미가입자도 “복제 문제 생기면 보상”",https://n.news.naver.com/mnews/article/028/0002743629?sid=101
에스케이 유심 해킹,한겨레,2025-04-30 21:14:36,"SKT, 번호이동 위약금 면제 요구에…“종합적 검토” 확답 안해",https://n.news.naver.com/mnews/article/028/0002743668?sid=101
에스케이 유심 해킹,한겨레,2025-04-29 14:02:13,정부 “SKT 전화번호·식별키 유출…복제폰 막으려면 ‘유심보호’ 가입”,https://n.news.naver.com/mnews/article/028/0002743337?sid=105
에스케이 유심 해킹,한겨레,2025-04-29 10:42:20,"“SKT, 택배로 유심 보내고 위약금 면제하라” 국회도 촉구",https://n.news.naver.com/mnews/article/028/0002743286?sid=102
에스케이 유심 해킹,한겨레,2025-04-30 11:22:15,유심 대란에…편의점 업계 물량 확보하고 모바일 앱 예약 판매도,https://n.news.naver.com/mnews/article/028/0002743510?sid=101
에스케이 유심 해킹,한겨레,2025-04-29 20:20:16,"“기존 유심, 연락처 옮기고 잘라서 폐기해야”[Q＆A]",https://n.news.naver.com/mnews/article/028/0002743436?sid=101
에스케이 유심 해킹,한겨레,2025-04-30 21:52:14,[사설] 최악의 통신 해킹에 ‘총체적 부실’ 대응 드러낸 SKT,https://n.news.naver.com/mnews/article/028/0002743679?sid=110
에스케이 유심 해킹,YTN,2025-04-29 08:37:54,"""당장 '3가지'부터 하세요"" 유심 교체 못했다면? 전문가 긴급대처 콕 찍었다",https://n.news.naver.com/mnews/article/052/0002186889?sid=102
에스케이 유심 해킹,지디넷코리아,2025-04-30 07:33:11,"개보위 부위원장 ""해킹 기술 날로 발전···기업 투자 늘려야""",https://n.news.naver.com/mnews/article/092/0002372681?sid=105
에스케이 유심 해킹,한겨레,2025-04-27 18:04:15,[사설] 해킹 피해 당한 가입자가 ‘오픈런’까지 해야 하나,https://n.news.naver.com/mnews/article/028/0002742997?sid=110
에스케이 유심 해킹,한겨레,2025-04-27 09:32:09,‘해킹’ SK텔레콤 이용자 “난리” “헛걸음”…대리점 앞 장사진,https://n.news.naver.com/mnews/article/028/0002742928?sid=102
에스케이 유심 해킹,한겨레,2025-04-29 14:32:09,"국정원, 정부 전 부처에 업무용 기기 SKT 유심 교체 권고",https://n.news.naver.com/mnews/article/028/0002743349?sid=100
에스케이 유심 해킹,한겨레,2025-04-30 11:52:12,‘해킹’ SKT 대표 “번호이동 위약금 면제 검토…최악 사고 맞다”,https://n.news.naver.com/mnews/article/028/0002743523?sid=101
에스케이 유심 해킹,한겨레,2025-04-28 19:56:15,개인정보위원장 “SKT 유심 정보 유출 포렌식 1년 이상 걸릴 수도”,https://n.news.naver.com/mnews/article/028/0002743232?sid=100
에스케이 유심 해킹,한겨레,2025-04-29 17:08:10,‘SKT 해킹 불안’ 안심차단서비스 폭증…금융당국 “비상대응반 설치”,https://n.news.naver.com/mnews/article/028/0002743389?sid=101
에스케이 유심 해킹,한겨레,2025-04-29 11:10:11,금융권 SKT ‘휴대전화 본인인증’ 중단…해킹 사태 일파만파,https://n.news.naver.com/mnews/article/028/0002743298?sid=101
에스케이 유심 해킹,한겨레,2025-04-23 17:38:17,SKT 고객 해킹 정보 특정하지 못한 채 “보호서비스 가입하라”,https://n.news.naver.com/mnews/article/028/0002742400?sid=101
에스케이 유심 해킹,한겨레,2025-04-24 16:38:17,"SK텔레콤, ‘해킹사고 인지 24시간 내 신고’ 규정 위반",https://n.news.naver.com/mnews/article/028/0002742600?sid=105
에스케이 유심 해킹,한겨레,2025-04-30 09:48:10,"금융권, SKT 해킹에 긴급회의…“부정 인증 증가 징후 없어”",https://n.news.naver.com/mnews/article/028/0002743480?sid=101
에스케이 유심 해킹,한겨레,2025-04-29 14:16:10,“기다리다 내 정보 다 털린다”…‘해킹’ SKT 매장서 난동 20대 체포,https://n.news.naver.com/mnews/article/028/0002743340?sid=102
에스케이 유심 해킹,한겨레,2025-05-02 11:28:14,이복현 “경제부총리 대행 중심으로 금융안정 만전”,https://n.news.naver.com/mnews/article/028/0002743957?sid=101
에스케이 유심 해킹,오마이뉴스,2025-05-07 14:21:15,"최태원 회장이 에두른 ""법적 문제"", SKT 대표 국회 증언은?",https://n.news.naver.com/mnews/article/047/0002472347?sid=101
에스케이 유심 해킹,한겨레,2025-04-29 22:24:08,"정부 “복제폰 피해 가능성 적다”지만, 최대 5천억 ‘강력 징계’ 예고",https://n.news.naver.com/mnews/article/028/0002743448?sid=105
에스케이 유심 해킹,한겨레,2025-04-27 19:20:09,‘복제폰’ 노리는 SKT 해커…재부팅 요구 절대 따라선 안 돼,https://n.news.naver.com/mnews/article/028/0002743012?sid=101
에스케이 유심 해킹,뉴스1,2025-05-07 10:29:57,사과하는 최태원 SK 회장,https://n.news.naver.com/mnews/article/421/0008234329?sid=105
에스케이 유심 해킹,뉴스1,2025-05-07 10:32:48,브리핑하는 최태원 회장,https://n.news.naver.com/mnews/article/421/0008234337?sid=105
에스케이 유심 해킹,뉴스1,2025-05-07 10:29:56,브리핑하는 최태원 회장,https://n.news.naver.com/mnews/article/421/0008234328?sid=105
에스케이 유심 해킹,뉴스1,2025-05-07 10:32:50,브리핑 입장하는 최태원 회장,https://n.news.naver.com/mnews/article/421/0008234339?sid=105
에스케이 유심 해킹,한겨레,2025-04-27 21:28:08,"SKT, 국민 절반 피해자 만들고도 ‘이용자 책임’ 따지나",https://n.news.naver.com/mnews/article/028/0002743030?sid=105
에스케이 유심 해킹,한겨레,2025-04-30 16:44:27,SK텔레콤 상대 손해배상 소송 봇물…“기업 책임 물을 것”,https://n.news.naver.com/mnews/article/028/0002743593?sid=102
에스케이 유심 해킹,이데일리,2025-05-07 14:16:13,"고개숙인 최태원…“위약금 면제, 형평성과 법적 검토 필요”",https://n.news.naver.com/mnews/article/018/0006006953?sid=105
에스케이 유심 해킹,한겨레,2025-05-01 22:20:13,13조8천억 규모 추경안 국회 통과,https://n.news.naver.com/mnews/article/028/0002743871?sid=100
에스케이 유심 해킹,한겨레,2025-05-02 00:48:09,‘13조8천억’ 추경안 국회 통과…정부안보다 1조6천억 늘어,https://n.news.naver.com/mnews/article/028/0002743878?sid=100
에스케이 유심 해킹,이데일리,2025-05-07 11:31:08,"[포토]최태원 SK 회장, 사이버 침해 사고에 대국민 사과",https://n.news.naver.com/mnews/article/018/0006006808?sid=105
에스케이 유심 해킹,이데일리,2025-05-07 11:31:10,"[포토]최태원 SK 회장, SKT 사이버 침해 사고에 대국민 사과",https://n.news.naver.com/mnews/article/018/0006006809?sid=105
에스케이 유심 해킹,한겨레,2025-04-27 17:38:14,‘SKT 개인정보 유출 집단소송 카페’ 생겨…벌써 수천명 가입,https://n.news.naver.com/mnews/article/028/0002742989?sid=102
에스케이 유심 해킹,한겨레,2025-04-30 18:02:17,말끝마다 “종합적 검토” SKT 임원…최민희 “가스라이팅 하러 왔냐”,https://n.news.naver.com/mnews/article/028/0002743620?sid=100
에스케이 유심 해킹,오마이뉴스,2025-04-28 17:58:17,"대선후보 선출 첫날, 이재명이 SK 하이닉스를 찾은 이유",https://n.news.naver.com/mnews/article/047/0002471432?sid=101
에스케이 유심 해킹,한겨레,2025-04-25 09:36:08,"SK텔레콤, 카카오 지분 4132억원어치 매각",https://n.news.naver.com/mnews/article/028/0002742720?sid=101
에스케이 유심 정보유출,한겨레,2025-05-18 11:56:13,"SKT, 고객신뢰위 구성…19일부터 도서·벽지 방문 유심교체",https://n.news.naver.com/mnews/article/028/0002746374?sid=101
에스케이 유심 정보유출,한겨레,2025-05-13 16:16:10,“유심 피해 배상하라” SKT 이용자 18만명 넘어…소송 본격화,https://n.news.naver.com/mnews/article/028/0002745638?sid=102
에스케이 유심 정보유출,한겨레,2025-05-21 17:44:10,개보위 “이미 어마어마한 피해…SKT 가입자 정보 싱가포르로 넘어가”,https://n.news.naver.com/mnews/article/028/0002746983?sid=101
에스케이 유심 정보유출,한겨레,2025-05-02 12:00:13,“예약하신 유심 입고됐습니다”…SKT 사칭 피싱까지 등장,https://n.news.naver.com/mnews/article/028/0002743973?sid=102
에스케이 유심 정보유출,한겨레,2025-05-03 12:20:10,"SK텔레콤 “유심 교체 못 한 출국자, 2차 피해 발생 시 책임”",https://n.news.naver.com/mnews/article/028/0002744094?sid=105
에스케이 유심 정보유출,한겨레,2025-05-02 06:02:11,신규가입 유심 19만개는 있고 교체분은 없다? SKT의 염치없는 장삿속,https://n.news.naver.com/mnews/article/028/0002743896?sid=101
에스케이 유심 정보유출,한겨레,2025-05-02 14:06:14,"개인정보위 “SK텔레콤, 이용자에게 개인정보 유출 즉각 통지해야”",https://n.news.naver.com/mnews/article/028/0002743992?sid=101
