키워드,언론사,게시일,뉴스제목,url
GS 해킹,이데일리,2025-02-27 10:49:11,"""고객 158만건 개인정보 유출""…GS리테일 '재발 방지' 사과",https://n.news.naver.com/mnews/article/018/0005952493?sid=101
GS 해킹,매일신문,2025-02-27 16:25:07,"GS리테일, 홈쇼핑 고객정보 158만건 유출 정황 확인",https://n.news.naver.com/mnews/article/088/0000933375?sid=101
GS 해킹,전자신문,2025-02-27 10:09:12,GS샵도 개인정보 158만건 유출…GS리테일 “정보보호 대책위 발족…재발 방지 총력”,https://n.news.naver.com/mnews/article/030/0003288199?sid=101
GS 해킹,조선비즈,2025-02-27 10:37:11,"GS리테일, 홈쇼핑 고객정보 158만건 유출 정황 추가 확인",https://n.news.naver.com/mnews/article/366/0001057129?sid=101
GS 해킹,세계일보,2025-01-07 06:02:11,GS리테일 고객 9만명 개인정보 털렸다,https://n.news.naver.com/mnews/article/022/0004000453?sid=101
GS 해킹,매경이코노미,2025-01-07 15:43:12,GS리테일 9만명 고객 ‘충격’...이름·생년월일·연락처 유출,https://n.news.naver.com/mnews/article/024/0000094124?sid=102
GS 해킹,경향신문,2025-01-06 16:06:18,GS리테일 고객 9만명 이름·연락처 등 개인정보 유출,https://n.news.naver.com/mnews/article/032/0003343685?sid=101
GS 해킹,국제신문,2025-02-27 14:12:15,GS리테일 홈쇼핑 158만 명 고객 개인정보 유출… 지난달 편의점 이어 추가 정황,https://n.news.naver.com/mnews/article/658/0000098697?sid=101
GS 해킹,TV조선,2025-02-27 21:31:00,"편의점 이어 홈쇼핑도 털렸다…GS샵, 고객 개인정보 158만건 유출",https://n.news.naver.com/mnews/article/448/0000510915?sid=101
GS 해킹,머니S,2025-02-27 10:11:55,"GS샵 158만건 개인정보 유출… GS리테일 ""재발 방지"" 사과",https://n.news.naver.com/mnews/article/417/0001060847?sid=101
GS 해킹,뉴스1,2025-02-27 10:07:40,"GS리테일, 편의점 이어 홈쇼핑도 개인정보 유출…""신뢰 회복 최선""",https://n.news.naver.com/mnews/article/421/0008101030?sid=101
GS 해킹,아시아경제,2025-02-27 10:37:29,"""편의점 이어 또""…GS리테일, 홈쇼핑서 158만건 개인정보 유출 확인",https://n.news.naver.com/mnews/article/277/0005552958?sid=101
GS 해킹,디지털데일리,2025-02-27 10:41:10,GS샵 고객 개인정보 유출로 재차 고개 숙인 GS리테일…“재발 방지 약속”,https://n.news.naver.com/mnews/article/138/0002191653?sid=101
GS 해킹,더팩트,2025-02-27 11:00:09,"GS리테일, 개인정보 158만건 추가로 털려…""고객들께 사과""",https://n.news.naver.com/mnews/article/629/0000368562?sid=101
GS 해킹,뉴시스,2025-02-27 10:08:44,"홈쇼핑 GS샵 158만건 개인정보 추가유출…GS리테일 ""보안강화 최우선 삼을 것""",https://n.news.naver.com/mnews/article/003/0013091244?sid=101
GS 해킹,매일경제,2025-02-27 17:54:35,GS샵 고객정보 158만건 털렸다,https://n.news.naver.com/mnews/article/009/0005451251?sid=103
GS 해킹,파이낸셜뉴스,2025-02-18 09:22:19,"한싹, ‘시큐어게이트 CDS’ GS인증 1등급 획득",https://n.news.naver.com/mnews/article/014/0005309762?sid=105
GS 해킹,지디넷코리아,2025-02-18 20:25:08,"한싹, 국방 보안통제시스템 '시큐어게이트 CDS' GS인증 1등급 취득",https://n.news.naver.com/mnews/article/092/0002363684?sid=105
GS 해킹,뉴시스,2025-02-18 09:36:12,"한싹, '시큐어게이트 CDS' GS인증 1등급 획득",https://n.news.naver.com/mnews/article/003/0013073019?sid=105
GS 해킹,디지털데일리,2025-02-18 09:53:06,"한싹, ‘시큐어게이트 CDS’ GS인증 1등급…국방 보안시장 확장",https://n.news.naver.com/mnews/article/138/0002191042?sid=105
GS 해킹,블로터,2025-01-14 15:28:08,"[단독] GS25, 빼빼로데이 결제 오류 보상금 지급 완료",https://n.news.naver.com/mnews/article/293/0000062645?sid=101
GS 해킹,전자신문,2025-03-13 13:57:13,공공·민간 가리지 않고 사이버공격 기승…'디도스'·'크리덴셜 스터핑' 주의,https://n.news.naver.com/mnews/article/030/0003292913?sid=105
GS 해킹,전자신문,2025-03-18 12:59:13,"휴네시온, 원격 유지보수 솔루션 'i-oneJTac' 공급 확대",https://n.news.naver.com/mnews/article/030/0003294172?sid=105
